Количество нагрузки на CPU,Количетсво нагрузки на память,Время работы,%USER,%SYS,%WAIT,Количество переключений контекста,Количество паралельных процессов
20,1,363756433.3,2.8599999999999994,4.0,0.0429292,608911017134.9,0.0
20,10,539615741.8,2.9699999999999998,4.0,0.04280679999999999,3164824397965.6,0.0
20,20,794658961.6,3.1000000000000005,4.0,0.0426984,17417648510862.3,0.0
30,10,1061920237.8,3.25,4.0,0.0425755,5975100620580.0,0.0
30,50,2470390389.5,3.4299999999999997,4.050000000000001,0.042536399999999995,7.96360842290872e+16,0.0
40,20,2467603818.9,3.7199999999999998,4.1000000000000005,0.0423982,15769.3,0.0
40,75,5586038890.0,4.050000000000001,4.199999999999999,0.0421996,7.936205945431966e+16,0.0
50,30,3849376754.5,4.42,4.299999999999999,0.0419815,4.36556826472249e+16,0.0
50,75,6157479506.3,4.83,4.389999999999999,0.04174789999999999,7.620520903776488e+16,0.0
50,100,8672814739.8,5.27,4.550000000000001,0.0414729,8.69096572230651e+16,0.0
