Количество нагрузки на CPU,Количетсво нагрузки на память,Время работы,%USER,%SYS,%WAIT,Количество переключений контекста,Количество паралельных процессов
1,0,1373547.4,5.100000000000001,1.8000000000000003,0.1251606,16554.7,0.0
6,0,49151418.2,5.6899999999999995,1.8399999999999999,0.12296099999999999,16275.3,0.0
11,0,181759661.9,6.95,1.9,0.11961899999999999,12113.1,0.0
16,0,312708303.6,8.89,2.0500000000000003,0.1161551,21491.9,0.0
21,0,513444426.6,11.209999999999999,2.21,0.11288219999999997,17023.3,0.0
26,0,789278508.4,13.829999999999998,2.3499999999999996,0.10917620000000001,21671.3,0.0
31,0,1133880942.7,16.750000000000004,2.49,0.10514320000000002,15707.2,0.0
36,0,1548786126.5,19.990000000000002,2.6499999999999995,0.10069399999999999,18993.7,0.0
41,0,1964227494.6,23.479999999999997,2.82,0.09588719999999999,18613.6,0.0
46,0,2498038683.7,27.050000000000004,3.0100000000000007,0.09090190000000001,18277.8,0.0
51,0,3106749016.4,30.520000000000003,3.1599999999999997,0.0860651,18743.0,0.0
