Количество нагрузки на CPU; Количетсво нагрузки на память; Время работы; %USER; %SYS; %WAIT, Количество переключений контекста; Количество паралельных процессов
1;1;785523.2;2.6000000000000005;1.5;0.0508329;8431.4;0.1
5;1;26118207.0;2.6399999999999997;1.5;0.050483;8324.6;0.7
1;5;1372870.3;2.6999999999999997;1.5;0.0503769;10415.1;0.0
5;5;34309805.0;2.6999999999999997;1.5;0.050029599999999994;15449.4;0.1
10;1;123358063.9;2.8399999999999994;1.5399999999999998;0.0496765;8364.2;0.2
10;5;149065764.9;3.0300000000000002;1.5999999999999999;0.04942200000000001;9398.9;0.0
10;10;183955636.2;3.2;1.5999999999999999;0.049208600000000005;10569.0;0.0
5;10;43195762.8;3.3;1.5999999999999999;0.0492367;10390.4;0.0
20;1;467729133.2;3.5400000000000005;1.5999999999999999;0.04916849999999999;12440.9;0.4
20;10;644920521.0;3.91;1.5999999999999999;0.048861699999999994;14841.9;0.0
20;15;737852658.4;4.29;1.6999999999999997;0.04846399999999999;15583.2;0.0
1;20;5268878.0;4.49;1.6999999999999997;0.048135199999999996;12466.8;0.0
10;20;252235411.7;4.540000000000001;1.6999999999999997;0.0481534;12022.9;0.0
